NumsOfCountry,NumsOfRegion,Query
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 17, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1584, 16804], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1796, 24438], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
2,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 19, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [2644, 19250], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1796, 24438], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1796, 24438], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1796, 24438], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1886, 25660], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,3,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}, {'region_id': 7, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1152, 21449], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 7, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1886, 25660], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1210, 22521], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,3,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}, {'region_id': 7, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1152, 21449], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1152, 21449], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1152, 21449], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1152, 21449], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1210, 22521], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1152, 21449], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
1,0,"{'days': [], 'countries': [{'country_id': 22, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,3,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 9, 'day': None}, {'region_id': 7, 'day': None}], 'pois': ['747', '950', '812', '740', '813', '820', '835', '1072', '1516', '1531'], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1210, 22521], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
1,0,"{'days': [], 'countries': [{'country_id': 22, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1873, 15861], 'hotelRating': None, 'arrivalRegionId': 17, 'departRegionId': 18}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
2,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 22, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
2,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 22, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [5977, 28251], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 7, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1886, 25660], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': None}"
1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 7, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1886, 25660], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': None}"
1,1,"{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [{'region_id': 27, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [724, 39788], 'hotelRating': None, 'arrivalRegionId': 27, 'departRegionId': 27}"
1,1,"{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [{'region_id': 27, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [724, 39788], 'hotelRating': None, 'arrivalRegionId': 27, 'departRegionId': 27}"
1,1,"{'days': [], 'countries': [{'country_id': 28, 'day': None}], 'regions': [{'region_id': 27, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [724, 39788], 'hotelRating': None, 'arrivalRegionId': 27, 'departRegionId': 27}"
1,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 7, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1886, 25660], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 7}"
1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1210, 22521], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1210, 22521], 'hotelRating': None, 'arrivalRegionId': 8, 'departRegionId': 8}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1886, 25660], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 24, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
3,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 18, 'day': None}, {'country_id': 19, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,1,"{'days': [], 'countries': [{'country_id': 24, 'day': None}], 'regions': [{'region_id': 157, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [2114, 8202], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,1,"{'days': [], 'countries': [{'country_id': 24, 'day': None}], 'regions': [{'region_id': 157, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [2114, 8202], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,1,"{'days': [], 'countries': [{'country_id': 24, 'day': None}], 'regions': [{'region_id': 157, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [2100, 18000], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
3,3,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 18, 'day': None}, {'country_id': 19, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 1, 'day': None}, {'region_id': 12, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [6411, 33564], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,1,"{'days': [], 'countries': [{'country_id': 24, 'day': None}], 'regions': [{'region_id': 157, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [2100, 18000], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
3,3,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 18, 'day': None}, {'country_id': 19, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 1, 'day': None}, {'region_id': 12, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [6411, 33564], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
3,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 18, 'day': None}, {'country_id': 19, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
3,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 18, 'day': None}, {'country_id': 19, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [6411, 33564], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
2,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 18, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
2,0,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 18, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [2644, 19250], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
2,2,"{'days': [], 'countries': [{'country_id': 9, 'day': None}, {'country_id': 18, 'day': None}], 'regions': [{'region_id': 8, 'day': None}, {'region_id': 1, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [2644, 19250], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1800, 44400], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,3,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [{'region_id': 54, 'day': None}, {'region_id': 56, 'day': None}, {'region_id': 59, 'day': None}], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [1800, 44400], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
1,0,"{'days': [], 'countries': [{'country_id': 2, 'day': None}], 'regions': [], 'pois': [], 'regionNotGo': [], 'poiNotGo': [], 'regionSorted': [], 'availableMonths': [], 'price': [], 'hotelRating': None, 'arrivalRegionId': None, 'departRegionId': None}"
